2026/08/18 18:33:50.196, 96 %, 17055 MiB, 262.02 W, 1410 MHz
2026/08/18 18:34:05.226, 96 %, 17441 MiB, 262.33 W, 1515 MHz
2026/08/18 18:34:20.268, 99 %, 17181 MiB, 260.87 W, 1110 MHz
2026/08/18 18:34:35.310, 100 %, 17569 MiB, 263.52 W, 1170 MHz
2026/08/18 18:34:50.342, 99 %, 17435 MiB, 264.55 W, 1125 MHz
2026/08/18 18:35:05.374, 100 %, 17825 MiB, 262.77 W, 1095 MHz
2026/08/18 18:35:20.406, 100 %, 18349 MiB, 260.78 W, 1170 MHz
2026/08/18 18:35:35.437, 100 %, 18349 MiB, 262.40 W, 1125 MHz
2026/08/18 18:35:50.469, 100 %, 19385 MiB, 261.42 W, 1290 MHz
2026/08/18 18:36:05.499, 0 %, 435 MiB, 126.19 W, 2520 MHz
2026/08/18 18:36:20.529, 99 %, 17201 MiB, 266.20 W, 1335 MHz
2026/08/18 18:36:35.561, 99 %, 17201 MiB, 263.73 W, 1380 MHz
2026/08/18 18:36:50.597, 99 %, 17329 MiB, 261.90 W, 1335 MHz
2026/08/18 18:37:05.630, 99 %, 17329 MiB, 261.64 W, 1155 MHz
2026/08/18 18:37:20.663, 100 %, 17585 MiB, 263.35 W, 1110 MHz
2026/08/18 18:37:35.692, 100 %, 17893 MiB, 254.81 W, 1245 MHz
2026/08/18 18:37:50.748, 99 %, 18109 MiB, 257.72 W, 1140 MHz
2026/08/18 18:38:05.788, 100 %, 18917 MiB, 267.08 W, 1275 MHz
2026/08/18 18:38:20.818, 100 %, 19145 MiB, 262.10 W, 1125 MHz
2026/08/18 18:38:35.850, 100 %, 17063 MiB, 263.08 W, 1425 MHz
2026/08/18 18:38:50.882, 99 %, 17481 MiB, 258.00 W, 1380 MHz
2026/08/18 18:39:05.977, 100 %, 17205 MiB, 262.93 W, 1155 MHz
2026/08/18 18:39:21.065, 100 %, 17657 MiB, 262.56 W, 1170 MHz
2026/08/18 18:39:36.097, 100 %, 17489 MiB, 262.13 W, 1140 MHz
2026/08/18 18:39:51.129, 100 %, 18009 MiB, 258.48 W, 1095 MHz
2026/08/18 18:40:06.159, 100 %, 18375 MiB, 251.24 W, 1215 MHz
2026/08/18 18:40:21.190, 100 %, 18711 MiB, 262.89 W, 1125 MHz
2026/08/18 18:40:36.222, 100 %, 19733 MiB, 262.34 W, 1140 MHz
2026/08/18 18:40:51.268, 100 %, 20117 MiB, 263.62 W, 1095 MHz
2026/08/18 18:41:06.338, 99 %, 17047 MiB, 262.19 W, 1875 MHz
2026/08/18 18:41:21.385, 100 %, 17047 MiB, 262.17 W, 1590 MHz
2026/08/18 18:41:36.435, 100 %, 17577 MiB, 262.28 W, 1680 MHz
2026/08/18 18:41:51.471, 100 %, 18341 MiB, 261.17 W, 1140 MHz
2026/08/18 18:42:06.505, 99 %, 18341 MiB, 261.82 W, 1695 MHz
2026/08/18 18:42:21.543, 99 %, 18341 MiB, 263.50 W, 1665 MHz
2026/08/18 18:42:36.583, 99 %, 17043 MiB, 261.65 W, 1815 MHz
2026/08/18 18:42:51.618, 100 %, 17453 MiB, 260.97 W, 1110 MHz
2026/08/18 18:43:06.653, 99 %, 17453 MiB, 261.93 W, 1965 MHz
2026/08/18 18:43:21.689, 100 %, 17857 MiB, 262.98 W, 1095 MHz
2026/08/18 18:43:36.740, 99 %, 17857 MiB, 262.71 W, 1230 MHz
2026/08/18 18:43:51.787, 81 %, 16565 MiB, 128.26 W, 2520 MHz
2026/08/18 18:44:06.838, 100 %, 17051 MiB, 263.24 W, 2055 MHz
2026/08/18 18:44:21.887, 100 %, 17671 MiB, 260.65 W, 1950 MHz
2026/08/18 18:44:36.925, 99 %, 17671 MiB, 262.03 W, 1545 MHz
2026/08/18 18:44:51.960, 100 %, 19083 MiB, 265.30 W, 1125 MHz
2026/08/18 18:45:07.022, 99 %, 19526 MiB, 262.16 W, 1875 MHz
2026/08/18 18:45:22.057, 0 %, 435 MiB, 128.35 W, 2520 MHz
2026/08/18 18:45:37.088, 100 %, 19003 MiB, 260.58 W, 1110 MHz
2026/08/18 18:45:52.122, 98 %, 19003 MiB, 262.15 W, 2115 MHz
2026/08/18 18:46:07.161, 100 %, 19003 MiB, 247.44 W, 1500 MHz
2026/08/18 18:46:22.197, 97 %, 19995 MiB, 247.71 W, 870 MHz
2026/08/18 18:46:37.229, 10 %, 20005 MiB, 237.38 W, 1110 MHz
2026/08/18 18:46:52.261, 0 %, 0 MiB, 126.92 W, 2520 MHz
2026/08/18 18:47:07.308, 100 %, 20295 MiB, 273.05 W, 1125 MHz
2026/08/18 18:47:22.341, 97 %, 20311 MiB, 263.07 W, 1005 MHz
2026/08/18 18:47:37.374, 0 %, 0 MiB, 75.50 W, 240 MHz
2026/08/18 18:47:52.406, 100 %, 20873 MiB, 262.48 W, 1200 MHz
2026/08/18 18:48:07.439, 100 %, 20897 MiB, 178.27 W, 1215 MHz
2026/08/18 18:48:22.471, 0 %, 435 MiB, 117.11 W, 2520 MHz
2026/08/18 18:48:37.500, 100 %, 23639 MiB, 259.72 W, 1140 MHz
2026/08/18 18:48:52.530, 100 %, 24023 MiB, 240.19 W, 1215 MHz
2026/08/18 18:49:07.559, 0 %, 16837 MiB, 119.59 W, 2520 MHz
2026/08/18 18:49:22.590, 100 %, 19133 MiB, 267.27 W, 1140 MHz
2026/08/18 18:49:37.620, 0 %, 0 MiB, 121.09 W, 2520 MHz
2026/08/18 18:49:52.650, 99 %, 19861 MiB, 250.85 W, 1275 MHz
2026/08/18 18:50:07.685, 98 %, 19863 MiB, 259.18 W, 1020 MHz
2026/08/18 18:50:22.718, 0 %, 0 MiB, 77.11 W, 315 MHz
2026/08/18 18:50:37.749, 100 %, 20309 MiB, 243.79 W, 1230 MHz
2026/08/18 18:50:52.780, 92 %, 20311 MiB, 259.20 W, 1290 MHz
2026/08/18 18:51:07.828, 0 %, 0 MiB, 74.24 W, 210 MHz
2026/08/18 18:51:22.872, 100 %, 27083 MiB, 254.83 W, 1260 MHz
2026/08/18 18:51:37.906, 0 %, 0 MiB, 75.38 W, 270 MHz
2026/08/18 18:51:52.953, 74 %, 24003 MiB, 233.75 W, 2505 MHz
2026/08/18 18:52:07.983, 0 %, 435 MiB, 117.76 W, 2520 MHz
2026/08/18 18:52:23.015, 99 %, 24229 MiB, 221.48 W, 1245 MHz
2026/08/18 18:52:38.047, 94 %, 24229 MiB, 260.69 W, 1230 MHz
