ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45457 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45457 MiB
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:38:29Z","350363499","4212811","1461.480052","17.541822"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:38:31Z","1425411291","7679801","1436.806111","7.745054"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:38:37Z","6147364235","2564064","1332.603802","0.555869"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:39:01Z","322991354","14416469","1587.263218","69.968312"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:39:03Z","1315033393","9999750","1557.435102","11.875452"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:39:08Z","5688460651","2014490","1440.108526","0.509305"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:39:31Z","313315555","8963209","1635.014282","46.091171"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:39:32Z","1273105214","12160369","1608.763549","15.451531"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:39:37Z","5494648114","4677485","1490.906022","1.269665"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","1024","128","0x0","0","50","f16","f16","999","0","layer","0","0","0","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:39:59Z","313812300","13603960","1633.602546","71.093881"
