ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45457 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45457 MiB
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:33:46Z","349624119","2212759","1464.468826","9.234830"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:33:48Z","1406249343","12171133","1456.429297","12.662175"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:33:53Z","5744590706","23630866","1426.053255","5.857238"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:34:16Z","320317244","14986990","1600.712047","73.647236"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:34:18Z","1295787481","5588817","1580.525735","6.833383"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:34:23Z","5342060341","8931756","1533.493583","2.561703"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:34:44Z","311086167","10242968","1647.015689","53.276458"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:34:46Z","1248062754","11156449","1641.030447","14.652941"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:34:51Z","5139987375","2552394","1593.778496","0.791456"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","1024","128","0x0","0","50","f16","f16","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:35:11Z","313444504","12742506","1635.253231","66.071885"
