ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45457 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45457 MiB
build_commit,build_number,cpu_info,gpu_info,backends,model_filename,model_type,model_size,model_n_params,n_batch,n_ubatch,n_threads,cpu_mask,cpu_strict,poll,type_k,type_v,n_gpu_layers,n_cpu_moe,split_mode,main_gpu,no_kv_offload,flash_attn,devices,tensor_split,tensor_buft_overrides,load_mode,embeddings,no_op_offload,no_host,fit_target,fit_min_ctx,n_prompt,n_gen,n_depth,test_time,avg_ns,stddev_ns,avg_ts,stddev_ts
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:36:07Z","354427133","5969358","1444.858056","24.350115"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:36:09Z","1436583040","4867882","1425.615947","4.835845"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","128","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:36:15Z","5874538983","6130530","1394.493418","1.455498"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:36:38Z","321158406","10311745","1595.321731","51.064466"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:36:39Z","1309609740","7958186","1563.863288","9.536246"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","256","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:36:45Z","5417449452","2672776","1512.150949","0.746041"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:37:06Z","315753843","9855339","1622.551756","49.763046"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:37:08Z","1255254289","6292716","1631.569191","8.158313"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","512","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:37:13Z","5189913139","6895099","1578.448314","2.098301"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","1024","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:37:33Z","307222299","13069973","1668.511018","69.295808"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","1024","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:37:35Z","1199399846","6467712","1707.553651","9.181481"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","1024","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:37:40Z","4958160365","963740","1652.225746","0.321139"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","2048","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","512","0","0","2026-08-18T18:37:59Z","308512228","10378190","1660.810427","54.973226"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","2048","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","2048","0","0","2026-08-18T18:38:01Z","1190392874","4060540","1720.453725","5.857510"
"af5172627","10496","AMD EPYC 9554 64-Core Processor","NVIDIA L40S","CUDA","/root/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf","qwen35 27B Q4_K - Small","17912397824","27320697856","2048","2048","128","0x0","0","50","q8_0","q8_0","999","0","layer","0","0","1","auto","0.00","none","auto","0","0","0","0","0","8192","0","0","2026-08-18T18:38:06Z","4917666427","474953","1665.830770","0.160896"
